pop	subspecies	julian_date	indiv	sexM1F2	weight	total_length 	tail_length
BG	gunnisoni	140	BG03	1	670	34.5	4.75
BG	gunnisoni	141	BG05	1	745	36.5	5.5
BG	gunnisoni	141	BG07	1	745	36	5.5
BLFB	gunnisoni	194	BLFB04	1	1050	38.5	7.5
BLFB	gunnisoni	194	BLFB05	1	550	34	7
BLFB	gunnisoni	196	BLFB17	1	1135	39	6.5
BLFB	gunnisoni	196	BLFB18	1	460	32.5	7
BLFB	gunnisoni	196	BLFB20	1	795	32	5.5
BLFB	gunnisoni	196	BLFB22	1	425	25	6
BLFB	gunnisoni	196	BLFB25	1	515	32	6
BLFB	gunnisoni	196	BLFB26	1	485	33	7
BLFB	gunnisoni	196	BLFB29	1	1120	37	7
BVSE	gunnisoni	208	BVSE02	1	800		
BVSE	gunnisoni	208	BVSE04	1	800		
BVSE	gunnisoni	208	BVSE05	1	320		
BVSE	gunnisoni	208	BVSE06	1	650		
BVSE	gunnisoni	208	BVSE08	1	320		
BVSE	gunnisoni	208	BVSE13	1	450		
BVSE	gunnisoni	209	BVSE14	1	930	28	8
BVSE	gunnisoni	209	BVSE15	1	1020	30.5	4
BVSE	gunnisoni	209	BVSE16	1	560	26.5	5.5
BVSE	gunnisoni	209	BVSE17	1	430	24	5.5
BVSE	gunnisoni	209	BVSE21	1	1015	32.5	4
BVSE	gunnisoni	209	BVSE24	1	430	25	6.5
BVSE	gunnisoni	209	BVSE25	1	500	25	5
BVSE	gunnisoni	209	BVSE26	1	1080	31.5	6
BVSE	gunnisoni	209	BVSE28	1	750	28.5	6
BVSE	gunnisoni	209	BVSE29	1	490	25.5	6
EMSP	gunnisoni	245	EMSP01	1	610	25.5	5
EMSP	gunnisoni	245	EMSP02	1	550	26.5	5
EMSP	gunnisoni	245	EMSP03	1	730	27.5	5.5
EMSP	gunnisoni	245	EMSP05	1	620	27.5	5.5
EMSP	gunnisoni	245	EMSP07	1	540	25.5	5.5
EMSP	gunnisoni	245	EMSP09	1	650	27	6
EMSP	gunnisoni	245	EMSP13	1	600	27.5	6
EMSP	gunnisoni	246	EMSP15	1	650	27.5	6
ENSP	gunnisoni	194	ENSP02	1	1050	38.5	8
ENSP	gunnisoni	194	ENSP04	1	430	30	6
ENSP	gunnisoni	196	ENSP09	1	1005	37	7
ENSP	gunnisoni	196	ENSP15	1	465	30	7
ENSP	gunnisoni	196	ENSP16	1	465	31	6.5
ENSP	gunnisoni	196	ENSP17	1	405	29	6
ENSP	gunnisoni	197	ENSP21	1	460	31.5	7
ENSP	gunnisoni	197	ENSP22	1	440	29	6
ENSP	gunnisoni	197	ENSP24	1	410	30	5
ERPD	gunnisoni	149	ERPD07	1	845	41	5.5
ERPD	gunnisoni	150	ERPD19	1	885	36	6
ERPD	gunnisoni	150	ERPD21	1		36	6.5
ERPD	gunnisoni	150	ERPD23	1	805	36.5	6.5
ERPD	gunnisoni	150	ERPD24	1	890	38.5	6.5
ERPD	gunnisoni	150	ERPD25	1	800	37	6
ERPD	gunnisoni	150	ERPS26	1	835	37	6
ERPD	gunnisoni	170	ERPD28	1	975	39.5	7
ERPD	gunnisoni	170	ERPD32	1	900	38.5	6.5
ERPD	gunnisoni	170	ERPD33	1	945	39.5	6.5
ERPD	gunnisoni	170	ERPD35	1	995	38.5	7.25
ERPD	gunnisoni	170	ERPD36	1	935	38	6.5
ERPD	gunnisoni	171	ERPD43	1	720		
ERPD	gunnisoni	171	ERPD45	1	855	36.5	6
GBTT	gunnisoni	176	GBTT01	1	200	23	4
GBTT	gunnisoni	177	GBTT04	1	885	38	7.5
GBTT	gunnisoni	177	GBTT05	1	905	37.5	7
GBTT	gunnisoni	177	GBTT07	1	195	19.5	4.5
GBTT	gunnisoni	177	GBTT08	1	960	40	7.5
GBTT	gunnisoni	177	GBTT09	1	275	27	5
GBTT	gunnisoni	177	GBTT10	1	895	38.5	7
GBTT	gunnisoni	177	GBTT12	1	230	26	4.5
GBTT	gunnisoni	178	GBTT16	1	255	26.5	5
GBTT	gunnisoni	178	GBTT17	1	250	25.5	5.5
GBTT	gunnisoni	178	GBTT22	1	305	27	5
GCR	gunnisoni	126	CRG-01	1	485	34.5	6.5
GCR	gunnisoni	126	CRG-03	1	685	36.4	7.5
GCR	gunnisoni	126	CRG-04	1	535	33.5	4.5
